step,ready_rate,mission_success_rate,sortie_rate,spare_fill_rate,spare_utilization,shortage_events,repair_backlog,repairing_count,failed_count,sortie_count,mean_launch_time,mean_recovery_time,mean_turnaround_time,downtime_failure_events,downtime_spare_shortage_events,downtime_resource_delay_events,ontology_entity_types,ontology_relationships,ontology_bound_entities,ontology_simulated_entity_types,ontology_simulated_relationships
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,6.0,6.0,9.0
1,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,6.0,6.0,9.0
2,0.375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,6.0,6.0,9.0
3,0.375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,6.0,6.0,9.0
4,0.375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,6.0,6.0,9.0
5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,8.0,13.0,6.0,6.0,9.0
6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,8.0,13.0,6.0,6.0,9.0
7,0.375,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,8.0,13.0,6.0,6.0,9.0
8,0.375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,4.0,0.0,0.0,0.0,8.0,13.0,6.0,6.0,9.0
9,0.375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,4.0,0.0,0.0,0.0,8.0,13.0,6.0,6.0,9.0
